U101923894000154023600713     400416        SANTO ANTONIO ALUMINIO LTDA                       
P20192389400015409046         BANDEIRANTES CONECTIVO MODULADO 7                 UN    ATT1700000000000050
P20192389400015409047         BANDEIRANTES CONECTIVO PE CANTO                   UN    ATT1700000000000300
P20192389400015409048         BANDEIRANTES CONECTIVO PE MEIO                    UN    ATT1700000000000300
P20192389400015409055         AGROLAR PORTA DE CALHA 2.10 X 0.80                PC    ATT1700000000004700
P20192389400015409056         AGROLAR PORTA DE CALHA 2.10 X 0.70                PC    ATT1700000000004700
P20192389400015409057         AGROLAR JANELA DE CALHA 1.05 X 0.80               PC    ATT1700000000002320
P20192389400015409058         BANDEIRANTES VIDRO CRISTAL 5 MM 3.21X2.20         M2    ATF0000000000006580
P20192389400015409059         AGROLAR TIRA GALVANIZADA VAZADA                   PC    ATT1700000000002990
P20192389400015409061         REBITE POP 319                                    UNI   ATT1700000000000005
P20192389400015409062         REBITE POP 514                                    UNI   ATT1700000000000005
P20192389400015409063         REBITE POP 514 PRETO                              UNI   ATT1700000000000006
P20192389400015409064         REBITE POP 410                                    UNI   ATT1700000000000005
P20192389400015409065         REBITE POP 510                                    UNI   ATT1700000000000005
P20192389400015409066         TORRES TELHA TRANSLUCIDA 1.53X2.10                UNI   ATT1700000000003640
P20192389400015409067         GERDAU BARRA CHATA 2.1/2 X 5/16 6MT               M     ATT1700000000001620
P20192389400015409068         ACO CEARENSE PERFIL U GALVANIZADO PESADO          PC    ATT1700000000003020
P20192389400015409070         BANDEIRANTES FECH. PACRI VITRINE                  PC    ATT1700000000001350
P20192389400015409071         BANDEIRANTES SUPORTE FENDA 4MM                    PC    ATT1700000000000220
P20192389400015409072         BANDEIRANTES TUCANO MEDIO                         PC    ATT1700000000002000
P20192389400015409073         CHAPA LISA EM ROLO 1.000 X 0.50MM                 KG    ATT1700000000000650
P20192389400015409074         BANDEIRANTES PORTA FUME 60 X 1.80                 PC    ATT1700000000011500
P20192389400015409075         BRASKORT DISCO CORTE 4.1/2X1/8                    PC    ATT1700000000000299
P20192389400015409076         BRASKORT DISCO CORTE 10.1/8X1                     PC    ATT1700000000000740
P20192389400015409077         GERDAU PREGO CC 11X11-1X16                        KG    ATF0000000000001440
P20192389400015409078         ACO CEARENSE VERGALHAO 4.2 CA-60                  KG    ATT1700000000000397
P20192389400015409079         ACO CEARENSE VERGALHAO 5.0                        KG    ATT1700000000000397
P20192389400015409080         HASTE ACO 1/4 X 300 MM COMPLETA                   PC    ATF0000000000000150
P20192389400015409081         HASTE ACO 1/4 X 250 MM COMPLETA                   PC    ATF0000000000000130
P20192389400015409082         HASTE ACO 1/4 X 200 MM COMPLETA                   PC    ATF0000000000000110
P20192389400015409087         BOX VD TEMP. INC 113 X 1.80                       PC    ATT1700000000037600
P20192389400015409089         CBA PERFIL AL LIGA K-0004 BRONZE                  M     ATT1700000000000845
P20192389400015409092         ACO CEARENSE VERGALHAO 1/4 CA-50                  PC    ATF0000000000001230
P20192389400015409095         ACO CEARENSE CHAPA GALVANIZADA 32 2 X 1           PC    ATT1700000000002550
P20192389400015409096         ACO CEARENSE TUBO GALV. 1 - 2.25                  M     ATT1700000000001245
P20192389400015409097         BRASILIA CADEADO 102                              PC    ATT1700000000005170
P20192389400015409104         PROMEL DOBRADICA ALUMINIO 804                     PC    ATT1700000000000720
P20192389400015409105         PROMEL DOBRADICA ALUMINIO 802 PRETA               PC    ATT1700000000000380
P20192389400015409106         PROMEL DOBRADICA ALUMINIO 800 PRETA               PC    ATT1700000000000190
P20192389400015409107         PROMEL TAMPA FURO NYLON 042 PTO                   PC    ATF0000000000000008
P20192389400015409108         PROMEL FECH0 ALUMINIO 751-D PTO                   PC    ATT1700000000000315
P20192389400015409109         PROMEL FECHO 719 NAT                              PC    ATT1700000000000980
P20192389400015409110         PROMEL FECH0 CENTRAL 714 NAT.                     PC    ATT1700000000000575
P20192389400015409111         AREIA                                             M     ATT1700000000002200
P20192389400015409112         BRITA 19                                          M     ATT1700000000008000
P20192389400015409113         BANDEIRANTES SUPORTE CREMALH. 20 CM               UN    ATT1700000000000300
P20192389400015409114         ACO CEARENSE VERGALHAO 5/16 CA-50                 PC    ATF0000000000002002
P20192389400015409115         ACO CEARENSE TUBO GALV. 3 - 2.65                  M     ATT1700000000003100
P20192389400015409116         AGROLAR TUBO REDONDO 1/2 CH 20                    M     ATT1700000000000200
P20192389400015409117         FIXO P/ CORREMAO 1.54.8 X 0.78                    PC    ATT1700000000030400
P20192389400015409118         ACO CEARENSE CHAPA PRETA 1/2 2 X 1.20             PC    ATT1700000000113800
P20192389400015409119         ACO CEARENSE TUBO PATENTE 1.1/2 X 2.25            M     ATT1700000000001540
P20192389400015409121         ACO CEARENSE CHAPA GALVANIZADA 29 2 X 1           PC    ATT1700000000003360
P20192389400015409122         AGROLAR TUBO REDONDO 5/8 CH 20                    M     ATT1700000000000240
P20192389400015409123         GERDAU BARRA CHATA 1.1/4 X 5/16 6MTS              PC    ATT1700000000006300
P20192389400015409131         LINCOLN ELETRODO 4.00 7018                        KG    ATF0000000000001699
P20192389400015409134         ACO CEARENSE TUBO INDUSTRIAL 2.1/2 - 2.00         M     ATT1700000000001590
P20192389400015409135         AGROLAR GRAMPO GALV.P/MURO CH 14 2.00             KG    ATF0000000000000850
P20192389400015409136         CBA PERFIL DE AL.LIGA 6060 PRETO                  PC    ATT1700000000001399
P20192389400015409137         LANCA GORDA 112                                   PC    ATT1700000000000300
P20192389400015409140         CBA PERFIL DE AL.LIGA 6060-T5 N-3185 PRETO-2005   PC    ATT1700000000011780
P20192389400015409141         CBA PERFIL DE AL.LIGA 6060-T5 N-2126/CT PRETO 20  PC    ATT1700000000002340
P20192389400015409142         CBA PERFIL AL.LIGA 6060-T5 N-0679/DS PRETO 2005   M     ATT1700000000001310
P20192389400015409143         CBA PERFIL AL.LIGA 6060-T5 N-2472/ES ANOD.PRETO   PC    ATT1700000000002220
P20192389400015409144         GERDAU BARRA CHATA 3 X 5/16                       PC    ATT1700000000014600
P20192389400015409145         ACO CEARENSE TUBO INDUSTRIAL 5/8 - 1.20           M     ATT1700000000000200
P20192389400015409146         ACO CEARENSE TUBO INDUSTRIAL 2.1/2-1,50           M     ATT1700000000001370
P20192389400015409147         ACO CEARENSE TUBO INDUSTRIAL 3 - 1,50             M     ATT1700000000001645
P20192389400015409148         PET MONOCRIL RECICLADA OURO 098X180X002           UNI   ATT1700000000003590
P20192389400015409149         PET REVOADA RECICLADA OURO 098X180X002            UNI   ATT1700000000003590
P20192389400015409150         PET REVOADA RECICLADA FUME 088X250X002            UNI   ATT1700000000005590
P20192389400015409151         ACO CEARENSE VERGALHAO 3/8 CA 50                  PC    ATF0000000000002899
P20192389400015409152         ACO CEARENSE VERGALHAO 1/2 CA 50                  PC    ATF0000000000004425
P20192389400015409153         AGROLAR TIRA RAIADA MICROFURADA GALV.28           PC    ATT1700000000002700
P20192389400015409154         CBA PERFIL AL LIGA 6060 N-0679 BRONZE             M     ATT1700000000001835
P20192389400015409155         SUPORTE CORREMAO ALUMINIO FOSCO                   PC    ATT1700000000000540
P20192389400015409158         PRATILEIRA C/VD IN. MM  4/SUP.                    M     ATT1700000000010900
P20192389400015409159         VIDRO TENPERADO INCOLOR 10MM BLINDEX              M     ATT1700000000020800
P20192389400015409160         TUBO DE AL.QUAD.LIGA 6060-T5 K-0102/ANOD.FOSCO    M     ATT1700000000000830
P20192389400015409161         TUBO DE AL.RED.LIGA 6060-T5 KR 1146/CT            M     ATT1700000000001025
P20192389400015409163         AGROLAR TUBO PATENTE 2 X 2.25                     M     ATT1700000000008435
P20192389400015409164         AGROLAR ZARCAO ZARCOTEX VERM.LATAO 18             UNI   ATF0000000000012030
P20192389400015409165         STAM FECHADURA 603/07 BUZIOS GRAFITH EXTERNA      UNI   ATF0000000000005099
P20192389400015409166         ACO CEARENSE TUBO INDUSTRIAL 4 -1.20              M     ATT1700000000001750
P20192389400015409167         GERDAU BARRA CHATA 1.1/4 X 1/2                    PC    ATT1700000000009400
P20192389400015409168         GERDAU PREGO CC 13X15-1.1/4X15                    KG    ATF0000000000001100
P20192389400015409169         GERDAU PREGO CC 18X21 - 2X10                      KG    ATF0000000000000850
P20192389400015409170         FORRO PVC                                         M     ATT1700000000001810
P20192389400015409171         F PVC                                             M     ATT1700000000000330
P20192389400015409172         SELADOR ACRILICO 18L/DELANIL                      LT    ATT1700000000006600
P20192389400015409174         ACO CEARENSE TUBO GALV. 1/2 - 2.00                M     ATT1700000000000575
P20192389400015409175         ACO CEARENSE TUBO GALV. 3/4 - 2.00                M     ATT1700000000000745
P20192389400015409176         CBA PERFIL AL LIGA 6060 N-1609                    M     ATT1700000000002050
P20192389400015409177         AGROLAR LAMBRIL GALV MADELAR 0.65X1.40MM          M     ATF0000000000000950
P20192389400015409178         AGROLAR PERFIL STANLEY  GALV 45X17X8X1,50         PC    ATT1700000000009199
P20192389400015409179         BANDEIRANTES BOTAO FRANCES PLASTICO               PC    ATT1700000000000150
P20192389400015409180         BANDEIRANTES PROLONGADOR 1X5                      PC    ATT1700000000001199
P20192389400015409181         BANDEIRANTES PROLONGADOR 1X10                     PC    ATT1700000000001260
P20192389400015409182         BANDEIRANTES PROLONGADOR 1.1/2X10                 PC    ATT1700000000002160
P20192389400015409183         ACO CEARENSE TIRA SUPER LEVE 2,720KG              PC    ATT1700000000001575
P20192389400015409184         BANDEIRANTES VENTOSA PEQUENA INCOLOR              PC    ATT1700000000000020
P20192389400015409185         QUADRO DE VID.C/ESPELHO                           PC    ATT1700000000012000
P20192389400015409186         BANDEIRANTES VIDRO REFLECTAFLOAT 04MM             M2    ATF0000000000009400
P20192389400015409188         PROMEL PUXADOR 864                                PC    ATT1700000000000820
P20192389400015409189         ACO CEARENSE VERGALHAO 3.4 CA-60                  KG    ATT1700000000000535
P20192389400015409190         ACO CEARENSE VERGALHAO 6.00                       KG    ATF0000000000000440
P20192389400015409191         ACO CEARENSE ARAME 18                             KG    ATF0000000000000720
P20192389400015409192         ACO CEARENSE VERGALHAO 7.00                       KG    ATF0000000000000499
P20192389400015409193         TIJOLO 8 FUROS                                    M     ATT1700000000036000
P20192389400015409194         ACO CEARENSE TUBO PATENTE 1.1/2 X 3.00            M     ATT1700000000001325
P20192389400015409195         ACO CEARENSE TUBO GALV. 1/2 - 2.25                M     ATT1700000000000740
P20192389400015409196         ACO CEARENSE TUBO GALV. 3/4 - 2.25                M     ATT1700000000000999
P20192389400015409197         GEPETEC ROLDANA ACO 4 V                           PC    ATT1700000000002740
P20192389400015409198         GEPETEC ROLDANA ACO 1.1/2 V CX ABERTA/BUZIO       PC    ATT1700000000001730
P20192389400015409199         TARUGO 1                                          PC    ATF0000000000000480
P20192389400015409200         BUCHA P/ FIX 07                                   UNI   ATF0000000000000010
P20192389400015409201         PIVO P/DOBRADICA INF. AL 1013                     PC    ATT1700000000001210
P20192389400015409202         DOBRADICA SUPERIOR AL 1101                        PC    ATF0000000000004199
P20192389400015409203         DOBRADICA INFERIOR AL 1103                        PC    ATF0000000000004999
P20192389400015409204         DOBRAD.HORIZ.BASC.COM PINO INOX  AL 1123          PC    ATT1700000000001200
P20192389400015409205         BUCHA P/PIVO DE DOBRAD.AL 1201                    UNI   ATF0000000000000550
P20192389400015409206         SUPORTE C/PTO DE GIRO P/BASE E PIVOT.VID AL 1230  PC    ATT1700000000001499
P20192389400015409207         SUPORTE P/CANTO AL 1302                           PC    ATF0000000000001999
P20192389400015409208         SUPORTE C/MIOLO P/UNIAO 2 VIDROS AL 1306          PC    ATF0000000000002299
P20192389400015409209         SUPORTE P/UNIAO 2 OU 3 VIDR.FORMA L AL 1310       PC    ATT1700000000002800
P20192389400015409210         SUPORTE DE CENTRO AL 1329                         PC    ATF0000000000001399
P20192389400015409211         SUPORTE DE CENTRO C/TRINCO SEM MIOLO AL 1335      PC    ATF0000000000002399
P20192389400015409212         CONTRA FECHADURA P/AL 1520 AL 1504                PC    ATF0000000000002599
P20192389400015409213         CONTRA FECHADURA P/AL 1520(ALVENARIA) AL 1504A    PC    ATF0000000000000920
P20192389400015409214         FECHADURA BICO DE PAPAGAIO C/ABAS AL 1510         UNI   ATF0000000000009999
P20192389400015409215         CONT.FECHAD.C/ABAS P/AL1510(BICO PAPAG)AL 1511    PC    ATT1700000000005699
P20192389400015409216         CONT.FECHAD.P/ALVEN.AL1510(BICO PAPAG) AL 1511A   PC    ATT1700000000000950
P20192389400015409217         TRINCO INFERIOR AL 1519                           PC    ATT1700000000001800
